in_stock,name,price,price_raw,url,вес,вид_фанеры,длина,допуск_по_толщине,индекс_звукоизоляции,каталог,количество_листов_в_упаковке,модуль_упругости_по_главной_оси_длине,обработка_торцов,объём,плотность,площадь_листа_м2,поверхность,прочность_на_изгиб_по_главной_оси,сорт,состав_древесина,теплопроводность,тип,толщина,фанера_транспортная,формат,ширина
0,Фанера облицованная HPL 18мм 2400х1200мм 2095-Дуб Флагстафф,10550.0,10 550,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/18mm-2440x1220mm_2095_dub_flagstaff/,37.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,052 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,18 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 21мм 2440х1220мм сорт 1/2 гладкая,2880.0,2 880,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2440x1220mm-sort-1-2-gladkaya/,40.6 кг,Ламинированная,2440 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,063 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/2 гладкая,береза,0.15 Вт/(м⋅К),,21 мм,,2440*1220 мм,1220 мм
0,Фанера ламинированная 18мм 2440х1220мм сорт 1/1 сетка,3381.0,3 381,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2440x1220mm-sort-1-1-setka/,34.0 кг,Ламинированная,2440 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,18 мм,Да,2440*1220 мм,1000 мм
0,Фанера ламинированная 21мм 2500х1250мм сорт 1/1 сетка,4141.0,4 141,https://fanera-osb.ru/fanera/laminirovannaya/21mm-2500x1250mm-sort-1-1-setka/,42.7 кг,Ламинированная,2500 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,066 куб.м.",650 кг/куб.м.,"3,13 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,21 мм,Да,2500*1250 мм,1000 мм
0,Фанера ламинированная 9мм 2440х1220мм сорт 1/2 гладкая,2314.0,2 314,https://fanera-osb.ru/fanera/laminirovannaya/9mm-2440x1220mm-sort-1-2-gladkaya/,17.4 кг,Ламинированная,2440 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,027 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/2 гладкая,береза,0.15 Вт/(м⋅К),,9 мм,,2440*1220 мм,1000 мм
0,Фанера ламинированная 6мм 2440х1220мм сорт 1/2 гладкая,1600.0,1 600,https://fanera-osb.ru/fanera/laminirovannaya/6mm-2440x1220mm-sort-1-2-gladkaya/,11.6 кг,Ламинированная,2440 мм,"+0,4 -0,5 мм",23 дБ,Фанера,62,7000 МПа,обработаны краской,"0,018 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/2 гладкая,береза,0.15 Вт/(м⋅К),,6 мм,,2440*1220 мм,1000 мм
0,Фанера ламинированная 9мм 3000х1500мм сорт 1/1 сетка,3200.0,3 200,https://fanera-osb.ru/fanera/laminirovannaya/9mm-3000x1500mm-sort-1-1-setka.htm/,26.3 кг,Ламинированная,3000 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,041 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,9 мм,Да,3000*1500 мм,1000 мм
0,Фанера ламинированная 15мм 3000х1500мм сорт 1/1 гладкая,4669.0,4 669,https://fanera-osb.ru/fanera/laminirovannaya/15mm-3000x1500mm-sort-1-1-gladkaya/,42.9 кг,Ламинированная,3000 мм,"+0,6 -0,8 мм",23 дБ,Фанера,26,7000 МПа,обработаны краской,"0,068 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,15 мм,,3000*1500 мм,1000 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1015-Черный,9000.0,9 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1015_chernyy/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 21мм 3000х1500мм сорт 1/1 гладкая,5552.0,5 552,https://fanera-osb.ru/fanera/laminirovannaya/21mm-3000x1500mm-sort-1-1-gladkaya/,61.4 кг,Ламинированная,3000 мм,"+0,8 -1,0 мм",23 дБ,Фанера,19,7000 МПа,обработаны краской,"0,095 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,21 мм,,3000*1500 мм,1500 мм
0,Фанера облицованная HPL 15мм 2400х1200мм 1015-Черный,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_1015_chernyy/,28.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 09мм 2400*1200мм 1019-Лайм,10300.0,10 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1019_laym/,18.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 18мм 3000х1500мм сорт 1/1 гладкая,4500.0,4 500,https://fanera-osb.ru/fanera/laminirovannaya/18mm-3000x1500mm-sort-1-1-gladkaya/,59.9 кг,Ламинированная,3000 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,081 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,3000*1500 мм,1500 мм
0,Фанера ламинированная 27мм 3000х1500мм сорт 1/1 сетка,9133.0,9 133,https://fanera-osb.ru/fanera/laminirovannaya/27mm-3000x1500mm-sort-1-1-setka/,79.0 кг,Ламинированная,3000 мм,"+1,0 -1,2 мм",23 дБ,Фанера,14,7000 МПа,обработаны краской,"0,122 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,27 мм,Да,3000*1500 мм,1500 мм
0,Фанера облицованная HPL 15мм 2400х1200мм 2095-Дуб Флагстафф,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_2095_dub_flagstaff/,30.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 12мм 2400х1200мм 1015-Черный,9950.0,9 950,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/12mm-2440x1220mm_1015_chernyy/,23.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,035 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,12 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1021-Мокко,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1021_mokko/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1029-Манго,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1029_mango/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 9мм 3000х1500мм сорт 1/1 гладкая,3480.0,3 480,https://fanera-osb.ru/fanera/laminirovannaya/9mm-3000x1500mm-sort-1-1-gladkaya.htm/,26.3 кг,Ламинированная,3000 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,041 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,9 мм,,3000*1500 мм,1500 мм
0,Фанера ламинированная 12мм 2440х1220мм сорт 1/1 гладкая,2522.0,2 522,https://fanera-osb.ru/fanera/laminirovannaya/12mm-2440x1220mm-sort-1-1-gladkaya/,23.2 кг,Ламинированная,2440 мм,"+0,5 -0,7 мм",23 дБ,Фанера,33,7000 МПа,обработаны краской,"0,036 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,12 мм,,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1014-Серый,9000.0,9 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1014_seryy/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1029-Манго,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1029_mango/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 18мм 2440х1220мм сорт 1/2 сетка,3522.0,3 522,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2440x1220mm-sort-1-2-setka/,34.0 кг,Ламинированная,2440 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/2 сетка,береза,0.15 Вт/(м⋅К),,18 мм,Да,2440*1220 мм,1220 мм
0,Фанера ламинированная 27мм 2440х1220мм сорт 1/1 сетка,5494.0,5 494,https://fanera-osb.ru/fanera/laminirovannaya/27mm-2440x1220mm-sort-1-1-setka/,52.2 кг,Ламинированная,2440 мм,"+1,0 -1,2 мм",23 дБ,Фанера,14,7000 МПа,обработаны краской,"0,080 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,27 мм,Да,2440*1220 мм,1220 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1019-Лайм,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1019_laym/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 12мм 3000х1500мм сорт 1/1 гладкая,4105.0,4 105,https://fanera-osb.ru/fanera/laminirovannaya/12mm-3000x1500mm-sort-1-1-gladkaya/,35.1 кг,Ламинированная,3000 мм,"+0,5 -0,7 мм",23 дБ,Фанера,33,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"4,50 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,12 мм,,3000*1500 мм,1500 мм
0,Фанера ламинированная 18мм 2500х1250мм сорт 1/1 гладкая,3378.0,3 378,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2500x1250mm-sort-1-1-gladkaya/,41.6 кг,Ламинированная,2500 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,056 куб.м.",650 кг/куб.м.,"3,13 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,2500*1250 мм,1000 мм
0,Фанера облицованная HPL 09мм 2400*1200мм 1029-Манго,10300.0,10 300,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1029_mango/,18.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 6мм 2400х1200мм 1019-Лайм,10000.0,10 000,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/6mm-2440x1220mm_1019_laym/,14.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,017 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,6 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 21мм 2400*1200мм 1026-Желтый,11900.0,11 900,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1026_zheltyy/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера облицованная HPL 09мм 2400*1200мм 1018-Белый Супер,9550.0,9 550,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/9mm-2440x1220mm_1018_belyy_super/,18.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,026 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,9 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 9мм 2500х1250мм сорт 1/1 сетка,2351.0,2 351,https://fanera-osb.ru/fanera/laminirovannaya/9mm-2500x1250mm-sort-1-1-setka/,18.3 кг,Ламинированная,2500 мм,"+0,4 -0,6 мм",23 дБ,Фанера,44,7000 МПа,обработаны краской,"0,028 куб.м.",650 кг/куб.м.,"3,13 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,9 мм,Да,2500*1250 мм,1000 мм
0,Фанера облицованная HPL 15мм 2400*1200мм 1040-Зеленый Грин,11100.0,11 100,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/15mm-2440x1220mm_1040_zelenyy_grin/,31.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,043 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,15 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 12мм 2440х1220мм сорт 1/1 сетка,2683.0,2 683,https://fanera-osb.ru/fanera/laminirovannaya/12mm-2440x1220mm-sort-1-1-setka/,23.2 кг,Ламинированная,2440 мм,"+0,5 -0,7 мм",23 дБ,Фанера,33,7000 МПа,обработаны краской,"0,036 куб.м.",650 кг/куб.м.,"2,98 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,12 мм,Да,2440*1220 мм,1000 мм
0,Фанера облицованная HPL 21мм 2400х1200мм 1015-Черный,11150.0,11 150,https://fanera-osb.ru/fanera/oblitsovannaya_hpl/21mm-2440x1220mm_1015_chernyy/,41.0 кг,Фанера HPL,2400 мм,,,Фанера,,,,"0,060 куб.м.",,"2,88 кв.м.",,,не указан,береза,,,21 мм,,2400*1200 мм,1200 мм
0,Фанера ламинированная 6мм 3000х1500мм сорт 1/1 сетка,2789.0,2 789,https://fanera-osb.ru/fanera/laminirovannaya/6mm-3000x1500mm-sort-1-1-setka/,17.6 кг,Ламинированная,3000 мм,"+0,4 -0,5 мм",23 дБ,Фанера,65,7000 МПа,обработаны краской,"0,027 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,6 мм,Да,3000*1500 мм,1000 мм
0,Фанера ламинированная 18мм 3000х1500мм сорт 1/1 сетка,5538.0,5 538,https://fanera-osb.ru/fanera/laminirovannaya/18mm-3000x1500mm-sort-1-1-setka/,59.9 кг,Ламинированная,3000 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,081 куб.м.",650 кг/куб.м.,"4,50 кв.м.",рифленая (сетка),25 МПа,Сорт 1/1 сетка,береза,0.15 Вт/(м⋅К),,18 мм,Да,3000*1500 мм,1500 мм
0,Фанера ламинированная 18мм 2440х1220мм сорт 1/1 гладкая,2596.0,2 596,https://fanera-osb.ru/fanera/laminirovannaya/18mm-2440x1220mm-sort-1-1-gladkaya/,34.0 кг,Ламинированная,2440 мм,"+0,7 -0,9 мм",23 дБ,Фанера,22,7000 МПа,обработаны краской,"0,054 куб.м.",650 кг/куб.м.,"2,98 кв.м.",гладкая,25 МПа,Сорт 1/1 гладкая,береза,0.15 Вт/(м⋅К),,18 мм,,2440*1220 мм,1000 мм
